date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:51	260/260	---M--	302	error ('Found')	text/html	date:Wed,%2015%20Apr%202020%2017:17:50%20GMT	https://tickettool.xyz/invite	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/invite	(from https://tickettool.xyz/)
18:17:51	96/96	---M--	302	error ('Found')	text/html	date:Wed,%2015%20Apr%202020%2017:17:51%20GMT	https://tickettool.xyz/support	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/support	(from https://tickettool.xyz/)
18:17:54	5686/5686	---MCZ	200	added ('OK')	application/javascript	etag:W/%221636-16da9533de3%22	https://tickettool.xyz/assets/js/app.min.js	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/js/app.min.js	(from https://tickettool.xyz/)
18:17:54	190635/190635	---MCZ	200	added ('OK')	application/javascript	etag:W/%222e8ab-16da95341ef%22	https://tickettool.xyz/assets/js/vendor.min.js	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/js/vendor.min.js	(from https://tickettool.xyz/)
18:17:57	40522/40522	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%229e4a-16da952d903%22	https://tickettool.xyz/assets/fonts/dripicons-v2.eot	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/dripicons-v2.eot	(from https://tickettool.xyz/assets/css/icons.min.css)
18:17:58	40522/40522	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%229e4a-16da952d903%22	https://tickettool.xyz/assets/fonts/dripicons-v2.eot?	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/dripicons-v2d41d.eot	(from https://tickettool.xyz/assets/css/icons.min.css)
18:17:59	26004/26004	---M--	200	added ('OK')	font/woff	etag:W/%226594-16da952da93%22	https://tickettool.xyz/assets/fonts/dripicons-v2.woff	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/dripicons-v2.woff	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:01	40348/40348	---M--	200	added ('OK')	font/ttf	etag:W/%229d9c-16da952da27%22	https://tickettool.xyz/assets/fonts/dripicons-v2.ttf	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/dripicons-v2.ttf	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:02	99368/99368	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2218428-16da952d8cf%22	https://tickettool.xyz/assets/fonts/dripicons-v2.svg	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/dripicons-v2.svg	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:10	531696/531696	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2281cf0-16da952fd6b%22	https://tickettool.xyz/assets/fonts/materialdesignicons-webfont.eot?v=3.5.95	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/materialdesignicons-webfont62bd.eot	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:10	531696/531696	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2281cf0-16da952fd6b%22	https://tickettool.xyz/assets/fonts/materialdesignicons-webfont.eot?	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/materialdesignicons-webfontd41d.eot	(from https://tickettool.xyz/assets/css/icons.min.css)
